ko,source,metabolism,path,description
K02446,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K02446  glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]"
K11532,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K11532  glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
K01086,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01086  fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
K04041,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K04041  fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]"
K01623,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01623  ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
K11645,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K11645  fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
K01624,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01624  FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
K01622,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01622  K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]"
K16305,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K16305  K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]
K16306,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K16306  K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]"
K01803,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01803  TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]"
K00134,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00134  GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
K10705,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K10705  GAPDHS; glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [EC:1.2.1.12]"
K00150,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00150  gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00927,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00927  PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]"
K01834,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01834  PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
K15634,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K15634  gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
K15633,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K15633  gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
K15635,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K15635  apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
K01689,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01689  ENO, eno; enolase [EC:4.2.1.11]"
K00873,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00873  PK, pyk; pyruvate kinase [EC:2.7.1.40]"
K12406,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K12406  PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]
K01006,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01006  ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
K01007,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01007  pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
K00163,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00163  aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00161,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00161  PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]"
K00162,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00162  PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]"
K00627,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00627  DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
K00382,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00382  DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
K13997,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K13997  PDHX; dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex
K00169,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00169  porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00170  porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00172,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00172  porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]"
K00189,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00189  vorG, porG; 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]"
K00171,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00171  porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K03737,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K03737  por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]"
K00174,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00174  korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
K00175,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00175  korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
K00016,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00016  LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]"
K01568,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01568  PDC, pdc; pyruvate decarboxylase [EC:4.1.1.1]"
K13951,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K13951  ADH1_7; alcohol dehydrogenase 1/7 [EC:1.1.1.1]
K13980,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K13980  ADH4; alcohol dehydrogenase 4 [EC:1.1.1.1]
K00121,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00121  frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
K13952,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K13952  ADH6; alcohol dehydrogenase 6 [EC:1.1.1.1]
K04072,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K04072  adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
K13953,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K13953  adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"
K13954,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K13954  yiaY; alcohol dehydrogenase [EC:1.1.1.1]
K18857,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K18857  ADH1; alcohol dehydrogenase class-P [EC:1.1.1.1]
K00001,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00001  E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K00002,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K00002  AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"
K12957,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K12957  ahr; alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]
K13979,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K13979  yahK; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K14028,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K14028  mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]"
K14029,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K14029  mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]"
K00114,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00114  exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K04022,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K04022  eutG; alcohol dehydrogenase
K22473,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K22473  adhA; alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5]"
K22474,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K22474  adhB; alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]"
K00128,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00128  ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K14085,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K14085  ALDH7A1; aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]
K00149,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00149  ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
K00129,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00129  ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00138,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00138  aldB; aldehyde dehydrogenase [EC:1.2.1.-]
K01895,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01895  ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
K01913,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01913  AAE7, ACN1; acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2]"
K01905,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K01905  acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
K22224,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K22224  acdB; acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]
K24012,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K24012  acdAB; acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]
K01785,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01785  galM, GALM; aldose 1-epimerase [EC:5.1.3.3]"
K01085,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K01085  agp; glucose-1-phosphatase [EC:3.1.3.10]
K20866,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K20866  yihX; glucose-1-phosphatase [EC:3.1.3.10]
K01835,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K01835  pgm; phosphoglucomutase [EC:5.4.2.2]
K15778,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K15778  pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
K15779,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K15779  PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]
K01084,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K01084  G6PC; glucose-6-phosphatase [EC:3.1.3.9]
K00886,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00886  ppgK; polyphosphate glucokinase [EC:2.7.1.63]
K08074,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K08074  ADPGK; ADP-dependent glucokinase [EC:2.7.1.147]
K01792,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K01792  E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
K01837,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K01837  BPGM; bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11]
K03103,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K03103  MINPP1; multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]"
K11389,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K11389  gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]
K00131,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K00131  gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K18978,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K18978  gapN; glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]
K01596,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"
K01610,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01610  E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"
K01222,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01222  E3.2.1.86A, celF; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
K01223,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K01223  E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
K02777,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K02777  crr; sugar PTS system EIIA component [EC:2.7.1.-]
K02779,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K02779  ptsG; glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]
K02791,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K02791  malX; maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208]
K20118,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"D      K20118  ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]"
K02753,sugar,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ko00010],D      K02753  ascF; beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component [EC:2.7.1.-]
K01810,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],"D      K01810  GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]"
K06859,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],"D      K06859  pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]"
K13810,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K13810  tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
K15916,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K15916  pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
K00036,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],"D      K00036  G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
K19243,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K19243  azf; NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]
K01057,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],"D      K01057  PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]"
K07404,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K07404  pgl; 6-phosphogluconolactonase [EC:3.1.1.31]
K13937,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K13937  H6PD; hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]
K00033,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],"D      K00033  PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
K01783,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],"D      K01783  rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]"
K00615,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],"D      K00615  E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]"
K00616,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],"D      K00616  E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]"
K01807,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K01807  rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]
K01808,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K01808  rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]
K13812,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K13812  fae-hps; bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43]
K08093,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K08093  hxlA; 3-hexulose-6-phosphate synthase [EC:4.1.2.43]
K08094,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K08094  hxlB; 6-phospho-3-hexuloisomerase [EC:5.3.1.27]
K13831,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K13831  hps-phi; 3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]
K01621,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],"D      K01621  xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]"
K01619,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],"D      K01619  deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]"
K00852,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],"D      K00852  rbsK, RBKS; ribokinase [EC:2.7.1.15]"
K01839,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K01839  deoB; phosphopentomutase [EC:5.4.2.7]
K22199,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K22199  ppm; phosphopentomutase [EC:5.4.2.7]
K01835,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K01835  pgm; phosphoglucomutase [EC:5.4.2.2]
K15778,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K15778  pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
K15779,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K15779  PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]
K05774,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],"D      K05774  phnN; ribose 1,5-bisphosphokinase [EC:2.7.4.23]"
K00948,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],"D      K00948  PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"
K01690,sugar,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ko00030],D      K01690  edd; phosphogluconate dehydratase [EC:4.2.1.12]
