	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags
11B-T1-6_contig.fa_viral_12__full-cat_1_2	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_12__full-cat_1	2	3372	4208	-1	D			YP_009636221.1	YP_009636221.1 endonuclease VII [Mycobacterium phage Baka]	False	0.27	76.0	9.723e-14								HNH endonuclease [PF14279.9]; HNH endonuclease [PF01844.26]; HNH endonuclease [PF13395.9]					VOG00049	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246; Xu	Xu	1	1	4	False	F
11B-T1-6_contig.fa_viral_12__full-cat_1_3	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_12__full-cat_1	3	4276	4623	-1	E																								0	2	5	False	F
11B-T1-6_contig.fa_viral_5__full-cat_1_1	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_5__full-cat_1	1	182	1072	-1	E																								0	2	5	False	F
11B-T1-6_contig.fa_viral_5__full-cat_1_2	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_5__full-cat_1	2	1501	2202	1	D			YP_010653457.1	YP_010653457.1 esterase [Gordonia phage Matteo]	False	0.308	91.0	2.018e-19								GDSL-like Lipase/Acylhydrolase family [PF13472.9]					VOG02689	REFSEQ head decoration; Xu	Xu	0	2	4	False	F
11B-T1-6_contig.fa_viral_5__full-cat_1_3	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_5__full-cat_1	3	2359	4401	1	C	K16568	exopolysaccharide production protein ExoZ	YP_009815580.1	YP_009815580.1 O-antigen acetylase [Arthrobacter phage Peas]	False	0.324	344.0	2.986e-99								SGNH domain (fused to AT3 domains) [PF19040.3]; Acyltransferase family [PF01757.25]					VOG00121	sp|P21542|CARE_STRTH 4''-mycarosyl isovaleryl-CoA transferase; Xh	Xh	0	0	5	False	F
11B-T1-6_contig.fa_viral_8__full-cat_2_1	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_8__full-cat_2	1	186	443	1	E																								0	2	5	False	F
11B-T1-6_contig.fa_viral_8__full-cat_2_2	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_8__full-cat_2	2	544	1068	1	D																VRR-NUC domain [PF08774.14]								0	2	4	False	F
11B-T1-6_contig.fa_viral_8__full-cat_2_3	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_8__full-cat_2	3	1091	1690	1	E																								0	2	4	False	F
11B-T1-6_contig.fa_viral_8__full-cat_2_4	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_8__full-cat_2	4	1848	2063	1	E																								0	2	4	False	F
11B-T1-6_contig.fa_viral_8__full-cat_2_5	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_8__full-cat_2	5	2060	2533	1	E																								0	2	4	False	F
11B-T1-6_contig.fa_viral_8__full-cat_2_6	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_8__full-cat_2	6	2564	2788	1	E																								0	2	4	False	F
11B-T1-6_contig.fa_viral_8__full-cat_2_7	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_8__full-cat_2	7	2793	2939	1	E																								0	2	4	False	F
11B-T1-6_contig.fa_viral_8__full-cat_2_8	final-viral-combined-for-dramv	11B-T1-6_contig.fa_viral_8__full-cat_2	8	2944	3546	1	E			YP_009209713.1	YP_009209713.1 Mom-like DNA modification protein [Polaribacter phage P12002L]	False	0.31	99.0	2.13e-22													VOG04476	sp|P06018|MOM_BPMU Methylcarbamoylase mom; XhXp	Xh;Xp	0	1	5	False	F
11B-T1-9_contig.fa_viral_12__full-cat_2_1	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_12__full-cat_2	1	1	729	-1	D																Phage integrase family [PF00589.25]								0	1	5	False	F
11B-T1-9_contig.fa_viral_12__full-cat_2_2	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_12__full-cat_2	2	921	1319	-1	E																								0	2	4	False	F
11B-T1-9_contig.fa_viral_12__full-cat_2_3	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_12__full-cat_2	3	1792	2268	1	D																Polyketide cyclase / dehydrase and lipid transport [PF03364.23]								0	2	4	False	F
11B-T1-9_contig.fa_viral_12__full-cat_2_4	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_12__full-cat_2	4	2328	2543	1	E																								0	2	5	False	F
11B-T1-9_contig.fa_viral_16__full-cat_2_1	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_16__full-cat_2	1	72	557	1	E																								0	2	5	False	F
11B-T1-9_contig.fa_viral_16__full-cat_2_2	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_16__full-cat_2	2	801	1034	-1	E																								0	2	4	False	F
11B-T1-9_contig.fa_viral_16__full-cat_2_3	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_16__full-cat_2	3	1397	1591	1	E																								0	2	4	False	F
11B-T1-9_contig.fa_viral_16__full-cat_2_4	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_16__full-cat_2	4	1810	2640	1	C	K10979	DNA end-binding protein Ku	YP_009046998.1	YP_009046998.1 Ku-like DNA end binding [Mycobacterium phage Wanda]	False	0.287	114.0	1.176e-26								Ku70/Ku80 beta-barrel domain [PF02735.19]					VOG09290	sp|Q853W0|KU_BPMOM Protein Ku; XpXr	Xr;Xp	0	1	4	False	VF
11B-T1-9_contig.fa_viral_16__full-cat_2_5	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_16__full-cat_2	5	2637	2708	-1	E																								0	2	5	False	F
11B-T1-9_contig.fa_viral_21__full-cat_2_1	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_21__full-cat_2	1	158	1537	1	D									MER0223378	C44	MER0223378 - family C44 unassigned peptidases (Ignisphaera aggregans) [C44.UPW]#C44#{peptidase unit: 2-441}~source YP_003858994~	False	0.214	83.0	6.276e-15									0	2	5	False	PF
11B-T1-9_contig.fa_viral_21__full-cat_2_2	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_21__full-cat_2	2	1543	1875	1	E																								0	2	4	False	F
11B-T1-9_contig.fa_viral_21__full-cat_2_3	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_21__full-cat_2	3	2047	2577	-1	D			YP_008059267.1	YP_008059267.1 hypothetical protein M199_gp277 [Halogranum tailed virus 1]	False	0.262	66.0	2.105e-11								5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C) [PF06941.15]								0	1	5	False	F
11B-T1-9_contig.fa_viral_27__full-cat_2_1	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_27__full-cat_2	1	3	344	-1	D																Domain of unknown function (DUF6398) [PF19935.2]								0	2	5	False	TF
11B-T1-9_contig.fa_viral_27__full-cat_2_2	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_27__full-cat_2	2	547	864	-1	E																								0	2	4	False	TF
11B-T1-9_contig.fa_viral_27__full-cat_2_3	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_27__full-cat_2	3	1206	1400	1	E																								0	2	4	False	TF
11B-T1-9_contig.fa_viral_27__full-cat_2_4	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_27__full-cat_2	4	1393	3087	1	C	K06400	site-specific DNA recombinase	YP_007010946.1	YP_007010946.1 integrase [Deep-sea thermophilic phage D6E]	False	0.221	117.0	9.527e-26								Resolvase, N terminal domain [PF00239.24]; Recombinase [PF07508.16]; Recombinase zinc beta ribbon domain [PF13408.9]					VOG00303	sp|P03014|PINE_ECOLI Serine recombinase PinE; Xr	Xr	0	1	4	False	VTF
11B-T1-9_contig.fa_viral_27__full-cat_2_5	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_27__full-cat_2	5	3084	3413	1	C	K07483	transposase	YP_009909222.1	YP_009909222.1 transposase [Enterobacteria phage 2851]	False	0.61	128.0	6.177e-34								Transposase [PF01527.23]					VOG00259	sp|Q51647|YISX_BURM1 Insertion element IS401 uncharacterized 12.4 kDa protein; Xu	Xu	0	1	3	True	TF
11B-T1-9_contig.fa_viral_27__full-cat_2_6	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_27__full-cat_2	6	3410	3745	1	D			YP_001449319.1	YP_001449319.1 IS3 family transposase [Enterobacteria phage BP-4795]	False	0.51	109.0	1.407e-27								HTH-like domain [PF13276.9]								0	1	5	False	TF
11B-T1-9_contig.fa_viral_2__full-cat_2_1	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_2__full-cat_2	1	3	497	1	E																								0	2	5	False	F
11B-T1-9_contig.fa_viral_2__full-cat_2_2	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_2__full-cat_2	2	458	619	-1	E																								0	2	4	False	F
11B-T1-9_contig.fa_viral_2__full-cat_2_3	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_2__full-cat_2	3	666	1871	-1	E																								0	2	4	False	F
11B-T1-9_contig.fa_viral_2__full-cat_2_4	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_2__full-cat_2	4	2385	2597	-1	E																								0	1	5	False	F
11B-T1-9_contig.fa_viral_8__full-cat_2_1	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_8__full-cat_2	1	303	2081	1	D																Transposase DDE domain [PF01609.24]								0	1	5	True	TF
11B-T1-9_contig.fa_viral_8__full-cat_2_2	final-viral-combined-for-dramv	11B-T1-9_contig.fa_viral_8__full-cat_2	2	2192	2593	-1	D																DDE superfamily endonuclease [PF13358.9]								0	1	5	False	TF
8-T1-6_contig.fa_viral_12__full-cat_2_1	final-viral-combined-for-dramv	8-T1-6_contig.fa_viral_12__full-cat_2	1	96	1073	1	D			YP_010772151.1	YP_010772151.1 MAG: hypothetical protein QIT36_gp068 [Methanophagales virus GBV301]	False	0.206	65.0	4.747e-10								Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]					VOG17757	REFSEQ glycosyltransferase; Xu	Xu	0	1	5	False	MKF
8-T1-6_contig.fa_viral_12__full-cat_2_2	final-viral-combined-for-dramv	8-T1-6_contig.fa_viral_12__full-cat_2	2	1882	2235	-1	E																								0	2	5	False	F
8-T1-6_contig.fa_viral_5__full-cat_2_1	final-viral-combined-for-dramv	8-T1-6_contig.fa_viral_5__full-cat_2	1	183	821	-1	D			YP_010755668.1	YP_010755668.1 tyrosine integrase [Streptomyces phage TurkishDelight]	False	0.44	103.0	1.025e-23								Phage integrase family [PF00589.25]								0	1	5	False	F
8-T1-6_contig.fa_viral_5__full-cat_2_2	final-viral-combined-for-dramv	8-T1-6_contig.fa_viral_5__full-cat_2	2	839	1171	-1	E																								0	2	3	False	F
8-T1-6_contig.fa_viral_5__full-cat_2_3	final-viral-combined-for-dramv	8-T1-6_contig.fa_viral_5__full-cat_2	3	1293	1556	-1	E																								0	2	3	False	F
8-T1-6_contig.fa_viral_5__full-cat_2_4	final-viral-combined-for-dramv	8-T1-6_contig.fa_viral_5__full-cat_2	4	1553	1786	-1	E																								0	2	3	False	F
8-T1-6_contig.fa_viral_5__full-cat_2_5	final-viral-combined-for-dramv	8-T1-6_contig.fa_viral_5__full-cat_2	5	1833	3338	-1	D			YP_010754236.1	YP_010754236.1 DNA-binding protein [Streptomyces phage Chymera]	False	0.191	76.0	6.671e-13								Helix-turn-helix domain [PF13560.9]								0	1	4	False	F
8-T1-6_contig.fa_viral_5__full-cat_2_6	final-viral-combined-for-dramv	8-T1-6_contig.fa_viral_5__full-cat_2	6	4004	4105	1	E																								0	2	4	False	F
8-T1-6_contig.fa_viral_5__full-cat_2_7	final-viral-combined-for-dramv	8-T1-6_contig.fa_viral_5__full-cat_2	7	4143	4511	1	E																								0	2	5	False	F
8-T1-9_contig.fa_viral_12__full-cat_2_1	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_12__full-cat_2	1	1	123	-1	E																								0	2	5	False	F
8-T1-9_contig.fa_viral_12__full-cat_2_2	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_12__full-cat_2	2	244	489	1	E																								0	2	4	False	F
8-T1-9_contig.fa_viral_12__full-cat_2_3	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_12__full-cat_2	3	595	882	1	E																								0	2	4	False	F
8-T1-9_contig.fa_viral_12__full-cat_2_4	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_12__full-cat_2	4	1025	2602	-1	E																								0	2	4	False	F
8-T1-9_contig.fa_viral_12__full-cat_2_5	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_12__full-cat_2	5	2689	3048	-1	E																								0	2	4	False	F
8-T1-9_contig.fa_viral_12__full-cat_2_6	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_12__full-cat_2	6	3179	3541	-1	E																								0	2	4	False	F
8-T1-9_contig.fa_viral_12__full-cat_2_7	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_12__full-cat_2	7	3541	4800	-1	E																								0	2	4	False	F
8-T1-9_contig.fa_viral_12__full-cat_2_8	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_12__full-cat_2	8	4797	6125	-1	C	K08900	mitochondrial chaperone BCS1	YP_009809412.1	YP_009809412.1 cell division protein [Caulobacter phage CcrPW]	False	0.291	171.0	4.551e-44								BCS1 N terminal [PF08740.14]; ATPase family associated with various cellular activities (AAA) [PF00004.32]					VOG00553	sp|O82150|FTSH_TOBAC ATP-dependent zinc metalloprotease FTSH, chloroplastic; Xh	Xh	0	1	4	False	F
8-T1-9_contig.fa_viral_12__full-cat_2_9	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_12__full-cat_2	9	6118	6996	-1	E																								0	2	4	False	F
8-T1-9_contig.fa_viral_12__full-cat_2_10	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_12__full-cat_2	10	7328	7882	-1	E																								0	2	4	False	F
8-T1-9_contig.fa_viral_12__full-cat_2_11	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_12__full-cat_2	11	7897	8019	-1	E																								0	2	5	False	F
8-T1-9_contig.fa_viral_16__full-cat_2_1	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_16__full-cat_2	1	155	1747	-1	C	K11089	60 kDa SS-A/Ro ribonucleoprotein	YP_008059305.1	YP_008059305.1 RNA-binding protein [Halogranum tailed virus 1]	False	0.218	122.0	2.3400000000000003e-27								TROVE domain [PF05731.14]					VOG01467	sp|O08848|RO60_MOUSE RNA-binding protein Ro60; Xr	Xr	0	1	5	False	VF
8-T1-9_contig.fa_viral_16__full-cat_2_2	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_16__full-cat_2	2	2089	2673	-1	D			YP_010648953.1	YP_010648953.1 HNH endonuclease [Gordonia phage Forza]	False	0.367	87.0	2.687e-18								HNH endonuclease [PF14279.9]; HNH endonuclease [PF13395.9]; HNH endonuclease [PF01844.26]					VOG00284	REFSEQ HNH endonuclease; Xu	Xu	0	1	5	False	F
8-T1-9_contig.fa_viral_19__full-cat_1_1	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_19__full-cat_1	1	3	221	-1	E																								0	2	5	False	F
8-T1-9_contig.fa_viral_19__full-cat_1_2	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_19__full-cat_1	2	226	3186	-1	D																Phage tail protein (Tail_P2_I) [PF09684.13]								0	2	4	False	F
8-T1-9_contig.fa_viral_19__full-cat_1_3	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_19__full-cat_1	3	3190	4794	-1	D			YP_009831853.1	YP_009831853.1 baseplate protein [Streptomyces phage BRock]	False	0.264	189.0	4.255e-49								Baseplate J-like protein [PF04865.17]					VOG01398	sp|P19060|BP06_BPT4 Baseplate wedge protein gp6; Xs	Xs	0	0	4	False	VF
8-T1-9_contig.fa_viral_19__full-cat_1_4	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_19__full-cat_1	4	4828	5187	-1	C	K06903	uncharacterized protein														Baseplate wedge protein gp25 [PF04965.17]								0	0	4	False	F
8-T1-9_contig.fa_viral_19__full-cat_1_5	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_19__full-cat_1	5	5222	5752	-1	E																								0	2	5	False	F
8-T1-9_contig.fa_viral_23__full-cat_1_1	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	1	1	252	-1	E																								0	2	5	False	F
8-T1-9_contig.fa_viral_23__full-cat_1_2	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	2	323	886	-1	E																								0	1	4	False	F
8-T1-9_contig.fa_viral_23__full-cat_1_3	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	3	1065	1388	-1	E																								0	2	2	False	F
8-T1-9_contig.fa_viral_23__full-cat_1_4	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	4	1513	1818	-1	E																								0	2	2	False	F
8-T1-9_contig.fa_viral_23__full-cat_1_5	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	5	2098	2304	-1	E																								0	2	2	False	F
8-T1-9_contig.fa_viral_23__full-cat_1_6	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	6	2301	3239	-1	E																								0	2	2	False	F
8-T1-9_contig.fa_viral_23__full-cat_1_7	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	7	3242	5668	-1	D			YP_007010601.1	YP_007010601.1 terminase large subunit [Acinetobacter phage YMC/09/02/B1251]	False	0.262	154.0	1.093e-36								Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]					VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	0	3	False	VF
8-T1-9_contig.fa_viral_23__full-cat_1_8	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	8	5668	6450	-1	E																								0	2	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_9	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	9	6463	6735	-1	E																								0	2	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_10	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	10	6791	7333	-1	E			YP_001039728.1	YP_001039728.1 sulfatase-modifying factor enzyme [Burkholderia phage BcepF1]	False	0.36	63.0	1.484e-10																0	1	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_11	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	11	7423	8274	-1	D																IstB-like ATP binding protein [PF01695.20]								0	1	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_12	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	12	8237	9283	-1	E																								0	2	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_13	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	13	9283	10092	-1	D			YP_009104003.1	YP_009104003.1 DNA methyltransferase [Shewanella sp. phage 1/40]	False	0.446	171.0	3.778e-46								DNA methylase [PF01555.21]					VOG06731	sp|P14751|MTR1_CERSP Type II methyltransferase M.RsrI; XhXp	Xh;Xp	0	1	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_14	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	14	10089	10286	-1	E																								0	2	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_15	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	15	10292	10924	-1	E																								0	2	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_16	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	16	10929	11516	-1	D			YP_010660209.1	YP_010660209.1 recombinase [Pseudoalteromonas phage HS1]	False	0.508	134.0	1.077e-34								ERF superfamily [PF04404.15]					VOG08218	sp|P04892|ERF_BPP22 Essential recombination function protein; Xh	Xh	0	1	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_17	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	17	11537	12247	-1	D			YP_009829917.1	YP_009829917.1 transposase [Bacillus phage phi105]	False	0.269	60.0	5.331e-09								Putative phage metallopeptidase [PF18894.3]								0	1	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_18	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	18	12261	12509	-1	E																								0	2	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_19	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	19	12506	13141	-1	C	K03700	recombination protein U														Recombination protein U [PF03838.17]					VOG10668	sp|C5D324|RECU_GEOSW Holliday junction resolvase RecU; Xr	Xr	0	2	2	False	V
8-T1-9_contig.fa_viral_23__full-cat_1_20	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	20	13142	13789	-1	D			YP_010653174.1	YP_010653174.1 DnaJ-like chaperonin [Gordonia phage Maridalia]	False	0.321	108.0	2.707e-25								DnaJ domain [PF00226.34]					VOG02502	REFSEQ DnaJ-like chaperonin; Xu	Xu	0	1	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_21	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	21	13802	14668	-1	D			YP_009217065.1	YP_009217065.1 MAG: hypothetical protein AV945_gp40 [Phormidium phage MIS-PhV1B]	False	0.225	82.0	7.266e-16								Protein of unknown function (DUF5131) [PF07505.14]					VOG04018	REFSEQ hypothetical protein; Xu	Xu	0	2	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_22	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	22	14652	15197	-1	E																								0	2	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_23	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	23	15194	16003	-1	D			YP_009598578.1	YP_009598578.1 DNA methyltransferase [Paenibacillus phage Shelly]	False	0.443	137.0	1.5970000000000002e-34								C-5 cytosine-specific DNA methylase [PF00145.20]					VOG00281	sp|P34877|MTSA_LACLC Type II methyltransferase M1.ScrFI; XhXp	Xh;Xp	0	1	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_24	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	24	16407	17219	-1	E			YP_010773504.1	YP_010773504.1 hypothetical protein QIT86_gp36 [Pseudomonas phage BUCT566]	False	0.344	139.0	4.766e-35													VOG01424	sp|P03766|Y290_LAMBD Uncharacterized nin region protein ORF290; Xu	Xu	0	1	2	False	
8-T1-9_contig.fa_viral_23__full-cat_1_25	final-viral-combined-for-dramv	8-T1-9_contig.fa_viral_23__full-cat_1	25	17256	17600	-1	E																								0	2	2	False	
