AMR.Gene.Family	AMRs.in.family	Resistance.Mechanism.in.family	Drug.Class.in.family
28	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	Staphylococcus aureus mupA conferring resistance to mupirocin,Staphylococcus aureus mupA conferring resistance to mupirocin,Bifidobacterium bifidum ileS conferring resistance to mupirocin	antibiotic target alteration,antibiotic target alteration,antibiotic target alteration	mupirocin,mupirocin,mupirocin
29	CTX-M beta-lactamase	CTX-M-20	antibiotic inactivation	cephalosporin
30	PER beta-lactamase	PER-3	antibiotic inactivation	monobactam; carbapenem; cephalosporin; penam; penem
31	vanX; glycopeptide resistance gene cluster	vanXI	antibiotic target alteration	glycopeptide antibiotic
32	defensin resistant mprF	Clostridium perfringens mprF,Streptococcus agalactiae mprF	antibiotic target alteration,antibiotic target alteration	peptide antibiotic,peptide antibiotic
33	CMY beta-lactamase	CMY-49,CMY-157,CMY-151	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	cephamycin,cephamycin,cephamycin
34	class A LRA beta-lactamase	LRA-1	antibiotic inactivation	cephalosporin; penam
35	pmr phosphoethanolamine transferase	ArnT,ArnT	antibiotic target alteration,antibiotic target alteration	peptide antibiotic,peptide antibiotic
36	quinolone resistance protein (qnr)	QnrS3	antibiotic target protection	fluoroquinolone antibiotic
37	APH(2)	APH(2)-IIa	antibiotic inactivation	aminoglycoside antibiotic
38	YRC Beta-lactamase	Yrc-1	antibiotic inactivation	cephalosporin; penam
39	glycopeptide resistance gene cluster; vanK	vanKI	antibiotic target alteration	glycopeptide antibiotic
40	tetracycline inactivation enzyme	tet(52),tet(56),tet(48)	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic
41	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	TolC	antibiotic efflux	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan; penem
42	KPC beta-lactamase	KPC-29,KPC-22	antibiotic inactivation,antibiotic inactivation	monobactam; carbapenem; cephalosporin; penam,monobactam; carbapenem; cephalosporin; penam
43	CARB beta-lactamase	CARB-7	antibiotic inactivation	penam
44	GOB beta-lactamase	GOB-11,GOB-16	antibiotic inactivation,antibiotic inactivation	carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam
45	MCR phosphoethanolamine transferase	MCR-2.2,MCR-4.1	antibiotic target alteration,antibiotic target alteration	peptide antibiotic,peptide antibiotic
46	AAC(3)	AAC(3)-IIa	antibiotic inactivation	aminoglycoside antibiotic
47	SMB beta-lactamase	SMB-1	antibiotic inactivation	carbapenem; cephalosporin; penam
48	AST Beta-lactamase	AST-1	antibiotic inactivation	cephalosporin; penam
49	TUS beta-lactamase	TUS-1	antibiotic inactivation	carbapenem; cephalosporin; cephamycin
50	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,rpoB2	antibiotic target alteration; antibiotic target replacement,antibiotic target alteration; antibiotic target replacement	rifamycin antibiotic,rifamycin antibiotic
51	glycopeptide resistance gene cluster; vanT	vanTC,vanTC	antibiotic target alteration,antibiotic target alteration	glycopeptide antibiotic,glycopeptide antibiotic
52	ANT(3)	ANT(3)-Ib	antibiotic inactivation	aminoglycoside antibiotic
53	THIN-B beta-lactamase	THIN-B	antibiotic inactivation	carbapenem; cephalosporin; penam
54	General Bacterial Porin with reduced permeability to beta-lactams	OmpA	reduced permeability to antibiotic	monobactam; carbapenem; cephalosporin; cephamycin; penam; penem
55	rifampin phosphotransferase	rphB	antibiotic inactivation	rifamycin antibiotic
56	resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr)	ParR	antibiotic efflux; reduced permeability to antibiotic	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; acridine dye; phenicol antibiotic; penem; disinfecting agents and intercalating dyes
57	16S rRNA methyltransferase (A1408)	npmA	antibiotic target alteration	aminoglycoside antibiotic
58	Cfr 23S ribosomal RNA methyltransferase	clbC	antibiotic target alteration	lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic
59	cpa acetyltransferase	cpaA	antibiotic inactivation	aminoglycoside antibiotic
60	sulfonamide resistant sul	sul2	antibiotic target replacement	sulfonamide antibiotic
61	Bah amidohydrolase	BahA	antibiotic inactivation	peptide antibiotic
62	ampC-type beta-lactamase	Laribacter hongkongensis ampC beta-lactamase,Rhodobacter sphaeroides ampC beta-lactamase	antibiotic inactivation,antibiotic inactivation	cephalosporin; penam,cephalosporin; penam
63	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	evgS	antibiotic efflux	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic
64	Bleomycin resistant protein	BRP(MBL)	antibiotic inactivation	glycopeptide antibiotic
65	subclass B3 LRA beta-lactamase	LRA-8	antibiotic inactivation	cephalosporin; penam
