contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
SC-T1-6_contig.fa_viral_20	1734	No	NA	1	0	0	Low-quality	Genome-fragment	2.39	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_21	2311	No	NA	2	1	0	Low-quality	Genome-fragment	0.75	HMM-based (lower-bound)	0.0	1.02	
SC-T1-6_contig.fa_viral_22	1661	No	NA	3	0	0	Low-quality	Genome-fragment	3.03	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_23	1795	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_24	1856	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_25	4348	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_26	2896	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_27	1590	No	NA	2	0	0	Low-quality	Genome-fragment	2.6	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_28	2945	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_29	1772	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_30	2128	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_31	75325	No	NA	60	2	42	High-quality	High-quality	94.22	HMM-based (lower-bound)	0.0	1.0	
SC-T1-6_contig.fa_viral_32	1975	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_34	6681	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SC-T1-6_contig.fa_viral_35	1820	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_provirus_23	1167	No	NA	2	1	0	Low-quality	Genome-fragment	0.51	HMM-based (lower-bound)	0.0	1.0	
RP-T1-6_contig.fa_viral_1	3113	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_2	2188	No	NA	7	1	0	Low-quality	Genome-fragment	1.13	HMM-based (lower-bound)	0.0	1.0	
RP-T1-6_contig.fa_viral_3	1688	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_5	3952	No	NA	7	1	0	Low-quality	Genome-fragment	3.02	AAI-based (medium-confidence)	0.0	1.0	
RP-T1-6_contig.fa_viral_6	1530	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_7	1570	No	NA	2	1	0	Low-quality	Genome-fragment	2.26	AAI-based (medium-confidence)	0.0	1.0	
RP-T1-6_contig.fa_viral_8	2375	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_9	1929	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_10	1785	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_11	1873	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_12	4809	No	NA	4	3	0	Low-quality	Genome-fragment	3.41	HMM-based (lower-bound)	0.0	1.0	
RP-T1-6_contig.fa_viral_13	1850	No	NA	3	0	0	Low-quality	Genome-fragment	3.5	AAI-based (medium-confidence)	0.0	1.02	no viral genes detected
RP-T1-6_contig.fa_viral_14	3366	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_15	2687	No	NA	3	1	0	Low-quality	Genome-fragment	1.1	HMM-based (lower-bound)	0.0	1.0	
RP-T1-6_contig.fa_viral_16	4377	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_17	4817	No	NA	3	1	0	Low-quality	Genome-fragment	6.89	HMM-based (lower-bound)	0.0	1.0	
RP-T1-6_contig.fa_viral_18	1591	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_19	2192	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.03	no viral genes detected
RP-T1-6_contig.fa_viral_20	1581	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_21	1689	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.03	no viral genes detected
RP-T1-6_contig.fa_viral_22	2166	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_23	2443	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_24	1534	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_25	2129	No	NA	6	1	0	Low-quality	Genome-fragment	4.26	HMM-based (lower-bound)	0.0	1.04	
RP-T1-6_contig.fa_viral_26	2064	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_27	1707	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_28	1688	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_29	4006	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_31	1552	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_32	3561	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_33	6196	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_34	1817	No	NA	2	0	0	Low-quality	Genome-fragment	2.34	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_35	1716	No	NA	3	1	0	Low-quality	Genome-fragment	1.06	HMM-based (lower-bound)	0.0	1.0	
RP-T1-6_contig.fa_viral_36	4842	No	NA	7	1	0	Low-quality	Genome-fragment	6.07	HMM-based (lower-bound)	0.0	1.0	
RP-T1-6_contig.fa_viral_37	2280	No	NA	6	1	0	Low-quality	Genome-fragment	1.41	HMM-based (lower-bound)	0.0	1.0	
RP-T1-6_contig.fa_viral_38	1604	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_39	2455	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_40	3135	No	NA	6	3	0	Low-quality	Genome-fragment	5.42	AAI-based (high-confidence)	0.0	1.0	
RP-T1-6_contig.fa_viral_41	2707	No	NA	6	0	0	Low-quality	Genome-fragment	3.45	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_42	2004	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_43	1639	No	NA	4	2	0	Low-quality	Genome-fragment	3.9	AAI-based (medium-confidence)	0.0	1.0	
RP-T1-6_contig.fa_viral_44	1627	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_45	3395	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_46	2434	No	NA	3	0	0	Low-quality	Genome-fragment	4.12	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_47	1848	No	NA	3	1	0	Low-quality	Genome-fragment	0.81	HMM-based (lower-bound)	0.0	1.05	
RP-T1-6_contig.fa_viral_48	1666	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_49	1583	No	NA	3	0	0	Low-quality	Genome-fragment	2.51	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_50	1864	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_51	3763	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_52	3287	No	NA	7	1	0	Low-quality	Genome-fragment	5.95	AAI-based (medium-confidence)	0.0	1.0	
RP-T1-6_contig.fa_viral_53	1931	No	NA	3	1	0	Low-quality	Genome-fragment	2.39	HMM-based (lower-bound)	0.0	1.0	
RP-T1-6_contig.fa_viral_54	1881	No	NA	4	0	0	Low-quality	Genome-fragment	3.08	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_55	2961	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_56	1901	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
RP-T1-6_contig.fa_viral_57	1503	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_36	1613	No	NA	1	0	0	Low-quality	Genome-fragment	3.5	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_37	2503	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_38	7229	No	NA	9	1	1	Low-quality	Genome-fragment	4.28	HMM-based (lower-bound)	0.0	1.0	
UAB-T1-6_contig.fa_viral_39	2597	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_40	1648	No	NA	4	0	0	Low-quality	Genome-fragment	1.54	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_41	1774	No	NA	2	0	0	Low-quality	Genome-fragment	2.79	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_42	1905	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_43	1567	No	NA	2	0	0	Low-quality	Genome-fragment	2.5	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_44	1863	No	NA	3	0	0	Low-quality	Genome-fragment	3.03	AAI-based (high-confidence)	0.0	1.01	no viral genes detected
UAB-T1-6_contig.fa_viral_45	2675	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_46	4826	No	NA	4	2	0	Low-quality	Genome-fragment	2.56	HMM-based (lower-bound)	0.0	1.0	
UAB-T1-6_contig.fa_viral_47	1876	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
UAB-T1-6_contig.fa_viral_48	1916	No	NA	2	1	0	Low-quality	Genome-fragment	1.19	HMM-based (lower-bound)	0.0	1.0	
UAB-T1-6_contig.fa_viral_49	1971	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_50	3526	No	NA	3	0	0	Low-quality	Genome-fragment	7.78	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_51	2175	No	NA	4	1	0	Low-quality	Genome-fragment	4.46	AAI-based (medium-confidence)	0.0	1.0	
UAB-T1-6_contig.fa_viral_52	1660	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.04	no viral genes detected
UAB-T1-6_contig.fa_viral_53	1808	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_54	1542	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_55	1505	No	NA	2	0	0	Low-quality	Genome-fragment	2.35	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_56	3587	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_57	1864	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_58	3268	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.02	no viral genes detected
UAB-T1-6_contig.fa_viral_60	1565	No	NA	1	0	0	Low-quality	Genome-fragment	3.55	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_61	2130	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_62	5135	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_63	1631	No	NA	3	0	0	Low-quality	Genome-fragment	2.57	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_64	2054	No	NA	3	1	0	Low-quality	Genome-fragment	1.64	HMM-based (lower-bound)	0.0	1.0	
UAB-T1-6_contig.fa_viral_65	1893	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_66	1698	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_67	2153	No	NA	4	2	0	Low-quality	Genome-fragment	3.25	HMM-based (lower-bound)	0.0	1.0	
UAB-T1-6_contig.fa_viral_68	3404	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_69	1733	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_70	1542	No	NA	3	0	0	Low-quality	Genome-fragment	2.44	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_71	1595	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
UAB-T1-6_contig.fa_viral_72	2022	No	NA	2	0	0	Low-quality	Genome-fragment	3.84	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
